"site_no","peak_WY","peak_va","plot_pos","ql","qu","tl","tu","historic","ql_ema","qu_ema","tl_ema","tu_ema"
"11389500",1941,44900,0.2674,44900,44900,1e-20,1e+20,FALSE,44900,44900,35200,1e+20
"11389500",1942,49000,0.1163,49000,49000,1e-20,1e+20,FALSE,49000,49000,35200,1e+20
"11389500",1943,42300,0.407,42300,42300,1e-20,1e+20,FALSE,42300,42300,35200,1e+20
"11389500",1944,31200,0.8488,31200,31200,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1945,34000,0.814,34000,34000,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1946,38100,0.6279,38100,38100,1e-20,1e+20,FALSE,38100,38100,35200,1e+20
"11389500",1947,32300,0.8372,32300,32300,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1948,35800,0.7442,35800,35800,1e-20,1e+20,FALSE,35800,35800,35200,1e+20
"11389500",1949,35300,0.7674,35300,35300,1e-20,1e+20,FALSE,35300,35300,35200,1e+20
"11389500",1950,34200,0.8023,34200,34200,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1951,37700,0.6628,37700,37700,1e-20,1e+20,FALSE,37700,37700,35200,1e+20
"11389500",1952,39700,0.5116,39700,39700,1e-20,1e+20,FALSE,39700,39700,35200,1e+20
"11389500",1953,40000,0.5,40000,40000,1e-20,1e+20,FALSE,40000,40000,35200,1e+20
"11389500",1954,40000,0.4884,40000,40000,1e-20,1e+20,FALSE,40000,40000,35200,1e+20
"11389500",1955,30900,0.8721,30900,30900,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1956,43200,0.3605,43200,43200,1e-20,1e+20,FALSE,43200,43200,35200,1e+20
"11389500",1957,36600,0.7209,36600,36600,1e-20,1e+20,FALSE,36600,36600,35200,1e+20
"11389500",1958,45800,0.2442,45800,45800,1e-20,1e+20,FALSE,45800,45800,35200,1e+20
"11389500",1959,39400,0.5465,39400,39400,1e-20,1e+20,FALSE,39400,39400,35200,1e+20
"11389500",1960,38400,0.6163,38400,38400,1e-20,1e+20,FALSE,38400,38400,35200,1e+20
"11389500",1961,35200,0.7791,35200,35200,1e-20,1e+20,FALSE,35200,35200,35200,1e+20
"11389500",1962,38500,0.593,38500,38500,1e-20,1e+20,FALSE,38500,38500,35200,1e+20
"11389500",1963,39300,0.5581,39300,39300,1e-20,1e+20,FALSE,39300,39300,35200,1e+20
"11389500",1964,33300,0.8256,33300,33300,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1965,43900,0.3256,43900,43900,1e-20,1e+20,FALSE,43900,43900,35200,1e+20
"11389500",1966,40500,0.4767,40500,40500,1e-20,1e+20,FALSE,40500,40500,35200,1e+20
"11389500",1967,39500,0.5349,39500,39500,1e-20,1e+20,FALSE,39500,39500,35200,1e+20
"11389500",1968,39100,0.5698,39100,39100,1e-20,1e+20,FALSE,39100,39100,35200,1e+20
"11389500",1969,42700,0.3837,42700,42700,1e-20,1e+20,FALSE,42700,42700,35200,1e+20
"11389500",1970,48400,0.1744,48400,48400,1e-20,1e+20,FALSE,48400,48400,35200,1e+20
"11389500",1971,41800,0.4186,41800,41800,1e-20,1e+20,FALSE,41800,41800,35200,1e+20
"11389500",1972,24900,0.907,24900,24900,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1973,42300,0.3953,42300,42300,1e-20,1e+20,FALSE,42300,42300,35200,1e+20
"11389500",1974,48600,0.1628,48600,48600,1e-20,1e+20,FALSE,48600,48600,35200,1e+20
"11389500",1975,41400,0.4419,41400,41400,1e-20,1e+20,FALSE,41400,41400,35200,1e+20
"11389500",1976,23900,0.9419,23900,23900,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1977,10700,0.9884,10700,10700,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1978,45200,0.2558,45200,45200,1e-20,1e+20,FALSE,45200,45200,35200,1e+20
"11389500",1979,37100,0.6977,37100,37100,1e-20,1e+20,FALSE,37100,37100,35200,1e+20
"11389500",1980,45800,0.2326,45800,45800,1e-20,1e+20,FALSE,45800,45800,35200,1e+20
"11389500",1981,41300,0.4651,41300,41300,1e-20,1e+20,FALSE,41300,41300,35200,1e+20
"11389500",1982,44000,0.314,44000,44000,1e-20,1e+20,FALSE,44000,44000,35200,1e+20
"11389500",1983,51800,0.0116,51800,51800,1e-20,1e+20,FALSE,51800,51800,35200,1e+20
"11389500",1984,49100,0.093,49100,49100,1e-20,1e+20,FALSE,49100,49100,35200,1e+20
"11389500",1985,34200,0.7907,34200,34200,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1986,50100,0.0698,50100,50100,1e-20,1e+20,FALSE,50100,50100,35200,1e+20
"11389500",1987,36300,0.7326,36300,36300,1e-20,1e+20,FALSE,36300,36300,35200,1e+20
"11389500",1988,36900,0.7093,36900,36900,1e-20,1e+20,FALSE,36900,36900,35200,1e+20
"11389500",1989,37600,0.6744,37600,37600,1e-20,1e+20,FALSE,37600,37600,35200,1e+20
"11389500",1990,24700,0.9186,24700,24700,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1991,27800,0.8953,27800,27800,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1992,35500,0.7558,35500,35500,1e-20,1e+20,FALSE,35500,35500,35200,1e+20
"11389500",1993,46600,0.2093,46600,46600,1e-20,1e+20,FALSE,46600,46600,35200,1e+20
"11389500",1994,22100,0.9535,22100,22100,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",1995,48900,0.1395,48900,48900,1e-20,1e+20,FALSE,48900,48900,35200,1e+20
"11389500",1996,37900,0.6512,37900,37900,1e-20,1e+20,FALSE,37900,37900,35200,1e+20
"11389500",1997,48900,0.1279,48900,48900,1e-20,1e+20,FALSE,48900,48900,35200,1e+20
"11389500",1998,50300,0.0581,50300,50300,1e-20,1e+20,FALSE,50300,50300,35200,1e+20
"11389500",1999,41300,0.4535,41300,41300,1e-20,1e+20,FALSE,41300,41300,35200,1e+20
"11389500",2000,43200,0.3488,43200,43200,1e-20,1e+20,FALSE,43200,43200,35200,1e+20
"11389500",2001,39600,0.5233,39600,39600,1e-20,1e+20,FALSE,39600,39600,35200,1e+20
"11389500",2002,43300,0.3372,43300,43300,1e-20,1e+20,FALSE,43300,43300,35200,1e+20
"11389500",2003,46500,0.2209,46500,46500,1e-20,1e+20,FALSE,46500,46500,35200,1e+20
"11389500",2004,49000,0.1047,49000,49000,1e-20,1e+20,FALSE,49000,49000,35200,1e+20
"11389500",2005,44200,0.3023,44200,44200,1e-20,1e+20,FALSE,44200,44200,35200,1e+20
"11389500",2006,49400,0.0814,49400,49400,1e-20,1e+20,FALSE,49400,49400,35200,1e+20
"11389500",2007,37100,0.686,37100,37100,1e-20,1e+20,FALSE,37100,37100,35200,1e+20
"11389500",2008,37900,0.6395,37900,37900,1e-20,1e+20,FALSE,37900,37900,35200,1e+20
"11389500",2009,38500,0.5814,38500,38500,1e-20,1e+20,FALSE,38500,38500,35200,1e+20
"11389500",2010,43100,0.3721,43100,43100,1e-20,1e+20,FALSE,43100,43100,35200,1e+20
"11389500",2011,47500,0.1977,47500,47500,1e-20,1e+20,FALSE,47500,47500,35200,1e+20
"11389500",2012,31100,0.8605,31100,31100,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",2013,41400,0.4302,41400,41400,1e-20,1e+20,FALSE,41400,41400,35200,1e+20
"11389500",2014,24100,0.9302,24100,24100,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",2015,44600,0.2791,44600,44600,1e-20,1e+20,FALSE,44600,44600,35200,1e+20
"11389500",2016,44400,0.2907,44400,44400,1e-20,1e+20,FALSE,44400,44400,35200,1e+20
"11389500",2017,50900,0.0465,50900,50900,1e-20,1e+20,FALSE,50900,50900,35200,1e+20
"11389500",2018,38400,0.6047,38400,38400,1e-20,1e+20,FALSE,38400,38400,35200,1e+20
"11389500",2019,51100,0.0349,51100,51100,1e-20,1e+20,FALSE,51100,51100,35200,1e+20
"11389500",2020,20200,0.9651,20200,20200,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",2021,11500,0.9767,11500,11500,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",2022,29900,0.8837,29900,29900,1e-20,1e+20,FALSE,1e-06,35200,35200,1e+20
"11389500",2023,48000,0.186,48000,48000,1e-20,1e+20,FALSE,48000,48000,35200,1e+20
"11389500",2024,48800,0.1512,48800,48800,1e-20,1e+20,FALSE,48800,48800,35200,1e+20
"11389500",2025,51700,0.0233,51700,51700,1e-20,1e+20,FALSE,51700,51700,35200,1e+20
