"site_no","EXC_Prob","Estimate","Variance","Conf_Low","Conf_Up","K_Value","Conf_Interval"
"11389500",0.995,23390,0.0026,16690,26740,-3.144,0.9
"11389500",0.99,24950,0.0019,18700,27950,-2.764,0.9
"11389500",0.98,26690,0.0013,21010,29320,-2.366,0.9
"11389500",0.975,27300,0.0011,21830,29800,-2.232,0.9
"11389500",0.96,28670,8e-04,23690,30900,-1.943,0.9
"11389500",0.95,29380,7e-04,24640,31480,-1.8,0.9
"11389500",0.9,31820,4e-04,28000,33520,-1.329,0.9
"11389500",0.8,34810,2e-04,32110,36190,-0.7983,0.9
"11389500",0.7,36980,1e-04,34990,38270,-0.4416,0.9
"11389500",0.6667,37620,1e-04,35790,38900,-0.3405,0.9
"11389500",0.6,38830,1e-04,37250,40120,-0.1537,0.9
"11389500",0.5704,39350,1e-04,37840,40640,-0.0758,0.9
"11389500",0.5,40550,1e-04,39160,41860,0.1016,0.9
"11389500",0.4292,41750,1e-04,40420,43090,0.2735,0.9
"11389500",0.4,42250,1e-04,40930,43600,0.3438,0.9
"11389500",0.3,44040,1e-04,42710,45440,0.5887,0.9
"11389500",0.2,46090,1e-04,44710,47550,0.8572,0.9
"11389500",0.1,48840,1e-04,47360,50510,1.198,0.9
"11389500",0.05,50990,1e-04,49390,53100,1.453,0.9
"11389500",0.04,51600,1e-04,49940,53900,1.523,0.9
"11389500",0.025,52780,1e-04,50960,55530,1.656,0.9
"11389500",0.02,53290,1e-04,51390,56290,1.713,0.9
"11389500",0.01,54730,2e-04,52520,58580,1.871,0.9
"11389500",0.005,55990,2e-04,53410,60810,2.005,0.9
"11389500",0.002,57430,4e-04,54330,63690,2.154,0.9
