section,year,acquisition_dates,n_scenes
sacramento_1,2009,2009-07-01,1
sacramento_1,2010,2010-07-13,1
sacramento_1,2012,2012-07-02,1
sacramento_1,2014,"2014-07-25, 2014-07-28",2
sacramento_1,2016,2016-07-12,1
sacramento_1,2018,"2018-07-19, 2018-10-08",2
sacramento_1,2020,2020-07-12,1
sacramento_1,2022,2022-07-16,1
sacramento_10,2009,"2009-07-01, 2009-07-02",2
sacramento_10,2010,2010-07-19,1
sacramento_10,2012,2012-07-02,1
sacramento_10,2014,2014-07-25,1
sacramento_10,2016,"2016-07-09, 2016-07-16",2
sacramento_10,2018,"2018-07-19, 2018-10-06",2
sacramento_10,2020,2020-07-12,1
sacramento_10,2022,2022-07-16,1
sacramento_11,2009,"2009-07-01, 2009-07-02",2
sacramento_11,2010,2010-07-19,1
sacramento_11,2012,2012-07-02,1
sacramento_11,2014,2014-07-25,1
sacramento_11,2016,2016-07-09,1
sacramento_11,2018,"2018-07-19, 2018-10-06",2
sacramento_11,2020,2020-07-12,1
sacramento_11,2022,2022-07-16,1
sacramento_12,2009,"2009-07-01, 2009-07-02",2
sacramento_12,2010,2010-07-19,1
sacramento_12,2012,2012-07-02,1
sacramento_12,2014,2014-07-25,1
sacramento_12,2016,2016-07-09,1
sacramento_12,2018,"2018-07-19, 2018-10-06",2
sacramento_12,2020,2020-07-12,1
sacramento_12,2022,2022-07-16,1
sacramento_13,2009,2009-07-02,1
sacramento_13,2010,2010-07-19,1
sacramento_13,2012,2012-07-02,1
sacramento_13,2014,2014-07-25,1
sacramento_13,2016,2016-07-09,1
sacramento_13,2018,"2018-07-19, 2018-10-06",2
sacramento_13,2020,2020-07-12,1
sacramento_13,2022,2022-07-16,1
sacramento_14,2009,"2009-07-01, 2009-07-02",2
sacramento_14,2010,2010-07-19,1
sacramento_14,2012,2012-07-02,1
sacramento_14,2014,2014-07-25,1
sacramento_14,2016,2016-07-09,1
sacramento_14,2018,2018-07-19,1
sacramento_14,2020,2020-07-12,1
sacramento_14,2022,2022-07-16,1
sacramento_15,2009,2009-07-01,1
sacramento_15,2010,2010-07-19,1
sacramento_15,2012,2012-07-02,1
sacramento_15,2014,"2014-07-12, 2014-07-25",2
sacramento_15,2016,2016-07-09,1
sacramento_15,2018,2018-07-19,1
sacramento_15,2020,2020-07-12,1
sacramento_15,2022,2022-07-16,1
sacramento_16,2009,"2009-07-01, 2009-07-02",2
sacramento_16,2010,2010-07-19,1
sacramento_16,2012,2012-07-02,1
sacramento_16,2014,"2014-07-12, 2014-07-25",2
sacramento_16,2016,2016-07-09,1
sacramento_16,2018,2018-07-19,1
sacramento_16,2020,2020-07-12,1
sacramento_16,2022,2022-07-16,1
sacramento_17,2009,"2009-07-01, 2009-07-02",2
sacramento_17,2010,2010-07-19,1
sacramento_17,2012,2012-07-02,1
sacramento_17,2014,"2014-07-12, 2014-07-25",2
sacramento_17,2016,2016-07-09,1
sacramento_17,2018,2018-07-19,1
sacramento_17,2020,2020-07-12,1
